event_day,AAR,CAAR
-20,-0.000725533359995429,-0.000725533359995429
-19,-0.00042640963459055376,-0.0011519429945859828
-18,0.00023006835771582703,-0.0009218746368701557
-17,-1.7162596547984275e-05,-0.00093903723341814
-16,-0.0029745211244939797,-0.003913558357912119
-15,-0.0007373604494080089,-0.004650918807320128
-14,-0.0015193781888127214,-0.006170296996132849
-13,-0.0007962824035827535,-0.006966579399715603
-12,-0.0020517127431055387,-0.009018292142821141
-11,-0.0011099005251845287,-0.01012819266800567
-10,-0.0005256182795538376,-0.010653810947559506
-9,0.00033004059095963505,-0.01032377035659987
-8,0.002467163668213332,-0.007856606688386539
-7,0.0024213770311391123,-0.005435229657247426
-6,-0.0012094026753162747,-0.0066446323325637015
-5,6.485237229794601e-05,-0.006579779960265756
-4,-0.0020236421319671815,-0.008603422092232938
-3,0.0018876393824322304,-0.006715782709800708
-2,-0.0028527056857106377,-0.009568488395511346
-1,-0.002207749732167239,-0.011776238127678584
0,-0.0006763204400024289,-0.012452558567681014
1,0.0008190544493887553,-0.011633504118292259
2,0.0025113119870295167,-0.009122192131262741
3,0.0007229859020646693,-0.008399206229198073
4,-0.0014821803552325474,-0.009881386584430621
5,0.004486876505375036,-0.005394510079055585
6,0.0019155961092314914,-0.0034789139698240936
7,0.0012404814896291004,-0.0022384324801949934
8,-0.001933425347153069,-0.004171857827348063
9,0.0013178315515383968,-0.002854026275809666
10,-0.0016465870555207398,-0.0045006133313304055
11,0.0027754945471432555,-0.00172511878418715
12,-0.0008933239514843094,-0.0026184427356714594
13,0.002908298571634646,0.0002898558359631866
14,0.0013810511432265353,0.001670906979189722
15,0.00042103716007949634,0.002091944139269218
16,-0.004603715078708089,-0.002511770939438871
17,0.0009725259932776997,-0.001539244946161171
18,0.0016546418795290745,0.0001153969333679034
19,-0.00045320005576873323,-0.00033780312240082983
20,0.003228927619146625,0.0028911244967457952
